,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
19,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Yummy Cantonese Restaurant 老西関腸粉,43.787567846730724,-79.26958536632105,Cantonese Restaurant
20,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Gourmet Malaysia 膳園,43.7881184598393,-79.26667771236072,Malay Restaurant
21,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Wonton Chai Noodle 雲吞仔,43.78772222037297,-79.26955187711835,Noodle House
22,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Asian Legend 味香村,43.78806782493317,-79.26676821861626,Chinese Restaurant
23,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Jesse Jr. (Filipino Foods & Restaurant),43.78756491773208,-79.26880977111882,Restaurant
24,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,The Captain's Boil,43.788100937060236,-79.26508523996,Seafood Restaurant
25,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Le Spot,43.78816172704444,-79.26415672672607,Pool Hall
26,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,TD Canada Trust,43.78848031250697,-79.26940843462944,Bank
27,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Perfect Chinese Restaurant 雅瓊海鮮酒家,43.78777423062292,-79.27029393705004,Chinese Restaurant
28,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Shanghai Dim Sum,43.78703615843197,-79.26938030256589,Chinese Restaurant
29,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Dumpling House 餃子莊,43.787208821092754,-79.26990941663193,Chinese Restaurant
30,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Borsalino,43.7881209225317,-79.26504908695252,Mediterranean Restaurant
31,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Oriental Centre 東方廣場,43.7881444609317,-79.26815223267127,Shopping Mall
32,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Cycle World Superstore,43.78840064611558,-79.26389008333248,Motorcycle Shop
33,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Centerview square,43.788084748780136,-79.2659358989749,Shopping Mall
34,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,The Golden Oriental Palace Chinese Cuisine,43.788332751358716,-79.26839626578571,Chinese Restaurant
35,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Mandarin Shopping Centre,43.78757194586115,-79.27004228519752,Shopping Mall
36,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,Pearl Plaza 明珠,43.78679740503411,-79.2699431945461,Shopping Mall
37,Agincourt South-Malvern West,43.788657551099995,-79.2656117966,The Only Cuisine 西域久保,43.78674606895496,-79.27085430184714,Chinese Restaurant
38,Alderwood,43.6049368959,-79.5416109273,Il Paesano Pizzeria & Restaurant,43.60128,-79.545028,Pizza Place
39,Alderwood,43.6049368959,-79.5416109273,Pizza Pizza,43.60534035117562,-79.54725175609202,Pizza Place
40,Alderwood,43.6049368959,-79.5416109273,Tim Hortons,43.60239631505536,-79.5450476557017,Coffee Shop
41,Alderwood,43.6049368959,-79.5416109273,Delta Variety,43.603897,-79.536385,Convenience Store
42,Alderwood,43.6049368959,-79.5416109273,Rexall,43.601951,-79.545694,Pharmacy
43,Annex,43.6715854351,-79.4040006243,Ezra's Pound,43.67515283323029,-79.40585846415303,Café
44,Annex,43.6715854351,-79.4040006243,Rose & Sons,43.6756684758828,-79.40361659752443,American Restaurant
45,Annex,43.6715854351,-79.4040006243,Roti Cuisine of India,43.67461834990478,-79.40824866273744,Indian Restaurant
46,Annex,43.6715854351,-79.4040006243,Jean Sibelius Square,43.67142628683921,-79.40883090368688,Park
47,Annex,43.6715854351,-79.4040006243,The Madison Avenue Pub,43.667946944171426,-79.40348638003233,Pub
48,Annex,43.6715854351,-79.4040006243,Big Crow,43.675896076491284,-79.40368028354095,BBQ Joint
49,Annex,43.6715854351,-79.4040006243,Live Organic Food Bar,43.67505287052667,-79.40671518307245,Vegetarian / Vegan Restaurant
50,Annex,43.6715854351,-79.4040006243,Madame Boeuf And Flea,43.67524,-79.40662,Burger Joint
51,Annex,43.6715854351,-79.4040006243,Magic Oven,43.6748946772507,-79.40699407078071,Pizza Place
52,Annex,43.6715854351,-79.4040006243,Le Paradis,43.67500732033419,-79.40003625111297,French Restaurant
53,Annex,43.6715854351,-79.4040006243,Pour House,43.675640867179204,-79.40382084040043,Pub
54,Annex,43.6715854351,-79.4040006243,Haute Coffee,43.675817902127925,-79.40279309076072,Café
55,Annex,43.6715854351,-79.4040006243,The Annex Hodgepodge,43.674975198818274,-79.40654256081908,Sandwich Place
56,Annex,43.6715854351,-79.4040006243,LCBO,43.675344431726565,-79.40532725232431,Liquor Store
57,Annex,43.6715854351,-79.4040006243,Royal Canadian Yacht Club,43.66870692322593,-79.39993886412725,Social Club
58,Annex,43.6715854351,-79.4040006243,Subway,43.674965,-79.406868,Sandwich Place
59,Annex,43.6715854351,-79.4040006243,Martino's Pizza,43.67555992434719,-79.40355789179394,Pizza Place
60,Annex,43.6715854351,-79.4040006243,Shoppers Drug Mart,43.674959,-79.407986,Pharmacy
61,Annex,43.6715854351,-79.4040006243,Beauty Boutique by Shoppers Drug Mart,43.674959,-79.407986,Cosmetics Shop
62,Annex,43.6715854351,-79.4040006243,Subway,43.674405254653074,-79.39986257426862,Sandwich Place
63,Annex,43.6715854351,-79.4040006243,Tim Hortons,43.67579963362535,-79.40353178302757,Coffee Shop
64,Annex,43.6715854351,-79.4040006243,food plus market 24 hrs,43.674514868797786,-79.40713764066462,Grocery Store
65,Annex,43.6715854351,-79.4040006243,Dupont Subway Station,43.674801625474316,-79.40692140269694,Metro Station
66,Annex,43.6715854351,-79.4040006243,Annex Grill and Bar,43.67491340106575,-79.40670910550232,Asian Restaurant
67,Annex,43.6715854351,-79.4040006243,Fet Zun,43.675147,-79.406346,Middle Eastern Restaurant
68,Annex,43.6715854351,-79.4040006243,Global Pet Foods,43.67557973121582,-79.40338561960981,Pet Store
69,Annex,43.6715854351,-79.4040006243,Krispy Kreme Doughnut Cafe,43.674732,-79.40773,Donut Shop
70,Annex,43.6715854351,-79.4040006243,Taddle Creek Park,43.66999014108493,-79.3984908002113,Park
71,Annex,43.6715854351,-79.4040006243,Masters Buffeteria Catering,43.66733299091995,-79.40247489133581,Restaurant
72,Annex,43.6715854351,-79.4040006243,Salt & Pepper Catering Co,43.67448968742273,-79.39938248037573,Café
73,Banbury-Don Mills,43.737657004300004,-79.3497179808,Congee Queen 皇后名粥,43.735977372912316,-79.34735561803191,Cantonese Restaurant
74,Banbury-Don Mills,43.737657004300004,-79.3497179808,CF Shops at Don Mills,43.73501112909844,-79.34478724407985,Shopping Mall
75,Banbury-Don Mills,43.737657004300004,-79.3497179808,Starbucks Reserve Bar,43.735764352650975,-79.34415591212019,Coffee Shop
76,Banbury-Don Mills,43.737657004300004,-79.3497179808,Cineplex VIP Cinemas Don Mills,43.73427877090645,-79.34616425228229,Movie Theater
77,Banbury-Don Mills,43.737657004300004,-79.3497179808,Lindt & Sprüngli,43.734806,-79.34524,Chocolate Shop
78,Banbury-Don Mills,43.737657004300004,-79.3497179808,McEwan,43.73625640025338,-79.34513152081716,Gourmet Shop
79,Banbury-Don Mills,43.737657004300004,-79.3497179808,Beauty Boutique by Shoppers Drug Mart,43.73694395097221,-79.34561366431524,Cosmetics Shop
80,Banbury-Don Mills,43.737657004300004,-79.3497179808,LCBO,43.73632288176399,-79.34611450909887,Liquor Store
81,Banbury-Don Mills,43.737657004300004,-79.3497179808,Shoppers Drug Mart,43.737261,-79.345868,Pharmacy
82,Banbury-Don Mills,43.737657004300004,-79.3497179808,Pizza Pizza,43.734579030985564,-79.34629045702412,Pizza Place
83,Banbury-Don Mills,43.737657004300004,-79.3497179808,Subway,43.735543576778454,-79.34743924790708,Sandwich Place
84,Banbury-Don Mills,43.737657004300004,-79.3497179808,Fabbrica,43.736690644491425,-79.34495158253722,Italian Restaurant
85,Banbury-Don Mills,43.737657004300004,-79.3497179808,Tim Hortons,43.7374907205239,-79.34388130903244,Coffee Shop
86,Banbury-Don Mills,43.737657004300004,-79.3497179808,Chatime,43.73553,-79.34765,Bubble Tea Shop
87,Banbury-Don Mills,43.737657004300004,-79.3497179808,Pet Valu,43.73554657001039,-79.34709747785529,Pet Store
88,Banbury-Don Mills,43.737657004300004,-79.3497179808,McKewan,43.73611734294501,-79.34496326391245,Gourmet Shop
89,Banbury-Don Mills,43.737657004300004,-79.3497179808,New Balance Toronto,43.736038,-79.344798,Shoe Store
90,Banbury-Don Mills,43.737657004300004,-79.3497179808,Eddie Bauer,43.73596343333333,-79.34480238333333,Clothing Store
91,Banbury-Don Mills,43.737657004300004,-79.3497179808,Salomon,43.73471569685011,-79.34539620707137,Sporting Goods Shop
92,Banbury-Don Mills,43.737657004300004,-79.3497179808,Browns Shoes,43.73527779332533,-79.34466623025156,Shoe Store
93,Banbury-Don Mills,43.737657004300004,-79.3497179808,Banana Republic,43.7352101719759,-79.34457997024154,Clothing Store
94,Bathurst Manor,43.7648133077,-79.4560551588,Wilmington Convenience And Produce,43.76492492612054,-79.45508605844655,Convenience Store
95,Bathurst Manor,43.7648133077,-79.4560551588,Chapley Baseball Park,43.76209961275248,-79.45586621215949,Baseball Field
96,Bathurst Manor,43.7648133077,-79.4560551588,Wilmington Park,43.761533640535525,-79.45609146657658,Playground
97,Bathurst Manor,43.7648133077,-79.4560551588,Irving W. Chapley Community Centre  & Park,43.76124725508391,-79.45550910036651,Park
98,Bay Street Corridor,43.6575113467,-79.3857212509,Jimmy's Coffee,43.65842123574496,-79.38561319551111,Coffee Shop
99,Bay Street Corridor,43.6575113467,-79.3857212509,Hailed Coffee,43.65883296982352,-79.38368351986598,Coffee Shop
100,Bay Street Corridor,43.6575113467,-79.3857212509,The Queen and Beaver Public House,43.65747228208784,-79.38352412327917,Gastropub
101,Bay Street Corridor,43.6575113467,-79.3857212509,Tim Hortons,43.658569999999976,-79.38512341104502,Coffee Shop
102,Bay Street Corridor,43.6575113467,-79.3857212509,The Elm Tree Restaurant,43.65739749535259,-79.38376054171513,Modern European Restaurant
103,Bay Street Corridor,43.6575113467,-79.3857212509,Red Lobster,43.656328,-79.383621,Seafood Restaurant
104,Bay Street Corridor,43.6575113467,-79.3857212509,Japango,43.65526771691681,-79.38516506734886,Sushi Restaurant
105,Bay Street Corridor,43.6575113467,-79.3857212509,Tsujiri,43.65537430780922,-79.38535434742991,Tea Room
106,Bay Street Corridor,43.6575113467,-79.3857212509,Chatime 日出茶太,43.65554164147378,-79.38468427043244,Bubble Tea Shop
107,Bay Street Corridor,43.6575113467,-79.3857212509,MUJI,43.656024,-79.383284,Miscellaneous Shop
108,Bay Street Corridor,43.6575113467,-79.3857212509,Elmwood Spa,43.6577592341367,-79.38258620521141,Spa
109,Bay Street Corridor,43.6575113467,-79.3857212509,Sansotei Ramen 三草亭,43.655157467561246,-79.38650067479335,Ramen Restaurant
110,Bay Street Corridor,43.6575113467,-79.3857212509,Banh Mi Boys,43.659292,-79.381949,Sandwich Place
111,Bay Street Corridor,43.6575113467,-79.3857212509,College Park Area,43.65975136823981,-79.38491112965691,Park
112,Bay Street Corridor,43.6575113467,-79.3857212509,Somethin' 2 Talk About,43.65839479027968,-79.38533765920816,Middle Eastern Restaurant
113,Bay Street Corridor,43.6575113467,-79.3857212509,Silver Snail Comics,43.65703137958407,-79.38140310220501,Comic Shop
114,Bay Street Corridor,43.6575113467,-79.3857212509,Bubble Republic Tea House 奶茶黨部,43.656707495984975,-79.38416470657434,Bubble Tea Shop
115,Bay Street Corridor,43.6575113467,-79.3857212509,Scaddabush Italian Kitchen & Bar,43.658920292028725,-79.38289105381784,Italian Restaurant
116,Bay Street Corridor,43.6575113467,-79.3857212509,Duke's Refresher + Bar,43.65897985683036,-79.38294890507811,Bar
117,Bay Street Corridor,43.6575113467,-79.3857212509,Poke Guys,43.65489527525682,-79.38505238381624,Poke Place
118,Bay Street Corridor,43.6575113467,-79.3857212509,Salad King,43.65760101432665,-79.38161963017174,Thai Restaurant
119,Bay Street Corridor,43.6575113467,-79.3857212509,Uncle Tetsu's Cheesecake (Uncle Tetsu's Japanese Cheesecake),43.65606287245643,-79.38369472446465,Dessert Shop
120,Bay Street Corridor,43.6575113467,-79.3857212509,Infuse Cafe,43.658068043552504,-79.38172645275614,Coffee Shop
121,Bay Street Corridor,43.6575113467,-79.3857212509,Barberian's Steak House,43.65775512925926,-79.38217741375935,Steakhouse
122,Bay Street Corridor,43.6575113467,-79.3857212509,Bubble Bath & Spa,43.65904951746615,-79.38534357912432,Spa
123,Bay Street Corridor,43.6575113467,-79.3857212509,GB Hand-Pulled Noodles,43.65643422548463,-79.3837827356398,Chinese Restaurant
124,Bay Street Corridor,43.6575113467,-79.3857212509,Yueh Tung Chinese Restaurant,43.655281263429195,-79.3853365267765,Chinese Restaurant
125,Bay Street Corridor,43.6575113467,-79.3857212509,DAVIDsTEA,43.65658619027106,-79.38116704725516,Tea Room
126,Bay Street Corridor,43.6575113467,-79.3857212509,Marshalls,43.659308,-79.3824621,Department Store
127,Bay Street Corridor,43.6575113467,-79.3857212509,Taiyaki NYC - Toronto,43.65558,-79.384462,Ice Cream Shop
128,Bay Street Corridor,43.6575113467,-79.3857212509,The Black Canary Espresso Bar,43.65702925121356,-79.38138512728051,Café
129,Bay Street Corridor,43.6575113467,-79.3857212509,Starbucks,43.6595874273128,-79.3852515870617,Coffee Shop
130,Bay Street Corridor,43.6575113467,-79.3857212509,UNIQLO ユニクロ,43.65591027779457,-79.38064099181345,Clothing Store
131,Bay Street Corridor,43.6575113467,-79.3857212509,Mercatto,43.660390911898546,-79.38766421192705,Italian Restaurant
132,Bay Street Corridor,43.6575113467,-79.3857212509,Rolltation,43.65491791857301,-79.3874242454196,Japanese Restaurant
133,Bay Street Corridor,43.6575113467,-79.3857212509,JOEY,43.6560936540828,-79.38187792357716,American Restaurant
134,Bay Street Corridor,43.6575113467,-79.3857212509,Five Guys,43.65710635305761,-79.38130606340378,Burger Joint
135,Bay Street Corridor,43.6575113467,-79.3857212509,Downtown Toronto,43.65323167517444,-79.38529600606677,Neighborhood
136,Bay Street Corridor,43.6575113467,-79.3857212509,Textile Museum of Canada,43.65439630500274,-79.38650010906946,Art Museum
137,Bay Street Corridor,43.6575113467,-79.3857212509,Blaze Pizza,43.656518,-79.380015,Pizza Place
138,Bay Street Corridor,43.6575113467,-79.3857212509,Yonge-Dundas Square,43.65605389742188,-79.38049504264389,Plaza
139,Bay Street Corridor,43.6575113467,-79.3857212509,doubletree fitness center (Doubletree Fitness Centre),43.65460313972433,-79.38620388507843,Gym / Fitness Center
140,Bay Street Corridor,43.6575113467,-79.3857212509,Butter Baker,43.65566927096165,-79.3842978108375,Bakery
141,Bay Street Corridor,43.6575113467,-79.3857212509,Ali Baba's,43.65491647880546,-79.38717216891472,Middle Eastern Restaurant
142,Bay Street Corridor,43.6575113467,-79.3857212509,Coffee Public,43.66076299149323,-79.38618409033066,Coffee Shop
143,Bay Street Corridor,43.6575113467,-79.3857212509,Cafe Plenty,43.65457125894357,-79.38944976536852,Café
144,Bay Street Corridor,43.6575113467,-79.3857212509,The Yoga Sanctuary,43.661499497597596,-79.38363613350754,Yoga Studio
145,Bay Street Corridor,43.6575113467,-79.3857212509,DoubleTree by Hilton Hotel Toronto Downtown,43.6546083,-79.3859415,Hotel
146,Bay Street Corridor,43.6575113467,-79.3857212509,Nando's,43.661617063338966,-79.38609536960354,Portuguese Restaurant
147,Bay Street Corridor,43.6575113467,-79.3857212509,Lebanon Express,43.66099058425057,-79.38297576948105,Falafel Restaurant
148,Bay Street Corridor,43.6575113467,-79.3857212509,Urban Herbivore,43.65497185575342,-79.38085556030273,Vegetarian / Vegan Restaurant
149,Bay Street Corridor,43.6575113467,-79.3857212509,BMV Books,43.657047061091596,-79.38166061431659,Bookstore
150,Bay Street Corridor,43.6575113467,-79.3857212509,Nordstrom,43.655041,-79.3809665,Clothing Store
151,Bay Street Corridor,43.6575113467,-79.3857212509,Ali Baba's - Yonge north of Dundas,43.65791597172264,-79.38168923893144,Middle Eastern Restaurant
152,Bay Street Corridor,43.6575113467,-79.3857212509,Reds Midtown Tavern,43.659128249470015,-79.38226565563255,Wine Bar
153,Bay Street Corridor,43.6575113467,-79.3857212509,306 Yonge Street - Jordan Store,43.65649471160899,-79.38101531134684,Sporting Goods Shop
154,Bay Street Corridor,43.6575113467,-79.3857212509,Cineplex Cinemas,43.65612555948613,-79.38039005666784,Movie Theater
155,Bay Street Corridor,43.6575113467,-79.3857212509,Starbucks (MaRS),43.65945605353152,-79.39041123272168,Coffee Shop
156,Bay Street Corridor,43.6575113467,-79.3857212509,The 3 Brewers,43.655474284721,-79.38041324445061,Beer Bar
157,Bay Street Corridor,43.6575113467,-79.3857212509,Starbucks,43.659509,-79.382132,Coffee Shop
158,Bay Street Corridor,43.6575113467,-79.3857212509,Bulk Barn,43.661339682592825,-79.38268765156145,Grocery Store
159,Bay Street Corridor,43.6575113467,-79.3857212509,Hard Candy Fitness,43.659556180497816,-79.38244024080487,Gym / Fitness Center
160,Bay Street Corridor,43.6575113467,-79.3857212509,Tim Hortons,43.656755,-79.380512,Coffee Shop
161,Bay Street Corridor,43.6575113467,-79.3857212509,Chipotle Mexican Grill,43.65686,-79.38091,Mexican Restaurant
162,Bay Street Corridor,43.6575113467,-79.3857212509,Fran's,43.661255320138636,-79.38389304122866,Diner
163,Bay Street Corridor,43.6575113467,-79.3857212509,Milestones,43.65630763877396,-79.38082230024877,Fast Food Restaurant
164,Bay Street Corridor,43.6575113467,-79.3857212509,W Burger Bar,43.66133100835633,-79.3835570768382,Burger Joint
165,Bay Street Corridor,43.6575113467,-79.3857212509,California Sandwiches,43.660824989345386,-79.38288750546259,Sandwich Place
166,Bay Street Corridor,43.6575113467,-79.3857212509,Hangry Burger,43.66070999694819,-79.38283826775837,Burger Joint
167,Bay Street Corridor,43.6575113467,-79.3857212509,Starbucks,43.661527,-79.383411,Coffee Shop
168,Bay Street Corridor,43.6575113467,-79.3857212509,DAVIDsTEA,43.65506981949658,-79.38059022205873,Tea Room
169,Bay Street Corridor,43.6575113467,-79.3857212509,Bed Bath & Beyond,43.6592716,-79.3830096,Furniture / Home Store
170,Bay Street Corridor,43.6575113467,-79.3857212509,Dollarama,43.66068,-79.38468,Discount Store
171,Bay Street Corridor,43.6575113467,-79.3857212509,Jack Astor's Bar & Grill,43.65601939992059,-79.38032551379719,Restaurant
172,Bay Street Corridor,43.6575113467,-79.3857212509,Booster Juice,43.660323,-79.385445,Juice Bar
173,Bay Street Corridor,43.6575113467,-79.3857212509,freshii,43.66128623053018,-79.38396405932683,Salad Place
174,Bay Street Corridor,43.6575113467,-79.3857212509,Bombay Street Food,43.66190434754231,-79.3861453057871,Indian Restaurant
175,Bay Street Corridor,43.6575113467,-79.3857212509,EB Games,43.65529344166874,-79.38032812642462,Video Game Store
176,Bay Street Corridor,43.6575113467,-79.3857212509,Upper Deck by Fran's,43.66130448614313,-79.3840381913115,Bar
177,Bay Street Corridor,43.6575113467,-79.3857212509,Colaba Junction,43.66094,-79.385635,Indian Restaurant
178,Bay Street Corridor,43.6575113467,-79.3857212509,Starbucks,43.65907956058055,-79.38056191501433,Coffee Shop
179,Bay Street Corridor,43.6575113467,-79.3857212509,Winners,43.6609971311074,-79.3835994601249,Clothing Store
180,Bay Street Corridor,43.6575113467,-79.3857212509,Ritz Caribbean Foods,43.66150023337985,-79.38322536850163,Caribbean Restaurant
181,Bay Street Corridor,43.6575113467,-79.3857212509,The Saint James Hotel,43.659398011456965,-79.38093249633705,Hotel
182,Bay Street Corridor,43.6575113467,-79.3857212509,Fine Asian Bowl,43.65534120847772,-79.38032614654341,Vietnamese Restaurant
183,Bay Street Corridor,43.6575113467,-79.3857212509,Subway,43.65946709895447,-79.38824850471555,Sandwich Place
184,Bay Street Corridor,43.6575113467,-79.3857212509,Booster Juice,43.66084631,-79.38354609,Smoothie Shop
185,Bay Street Corridor,43.6575113467,-79.3857212509,7-Eleven,43.661214456633985,-79.38277333974844,Convenience Store
186,Bay Street Corridor,43.6575113467,-79.3857212509,Starbucks,43.65952575859537,-79.39027029345037,Coffee Shop
187,Bay Street Corridor,43.6575113467,-79.3857212509,Tosto,43.661198,-79.386414,Italian Restaurant
188,Bay Street Corridor,43.6575113467,-79.3857212509,Est West Cafe,43.65954133608129,-79.39063666861075,Salad Place
189,Bay Street Corridor,43.6575113467,-79.3857212509,Tim Hortons,43.659695,-79.388706,Coffee Shop
190,Bay Street Corridor,43.6575113467,-79.3857212509,Second Cup,43.660721671691235,-79.38630837243234,Coffee Shop
191,Bay Street Corridor,43.6575113467,-79.3857212509,BDC - Business Development Bank of Canada,43.659722268203325,-79.3887197971344,Business Service
192,Bay Street Corridor,43.6575113467,-79.3857212509,Pumpernickel's @ MaRS,43.66011108672243,-79.3881935242235,Deli / Bodega
193,Bayview Village,43.7763605236,-79.3771168597,Flowers & Blossoms Inc.,43.776826613497164,-79.37815189361572,Flower Shop
194,Bayview Village,43.7763605236,-79.3771168597,Forest Grove,43.77934077365666,-79.37932635258618,Trail
195,Bayview Village,43.7763605236,-79.3771168597,Royal Frenchies,43.77705901254385,-79.38242197036743,Dog Run
196,Bayview Village,43.7763605236,-79.3771168597,Firoka Construction & Painting,43.779619,-79.380599,Construction & Landscaping
197,Bayview Woods-Steeles,43.7968018666,-79.3821179542,Baseball Fields/Park,43.79564427132376,-79.3852135326851,Dog Run
198,Bayview Woods-Steeles,43.7968018666,-79.3821179542,Leslie Square Basketball Courts,43.798331,-79.376454,Basketball Court
199,Bayview Woods-Steeles,43.7968018666,-79.3821179542,Don Valley Parklands,43.79248953869106,-79.38034747310336,Park
200,Bedford Park-Nortown,43.731486231800005,-79.4202273481,The Bagel House,43.7283374321573,-79.4180892175865,Bagel Shop
201,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Tutto Pronto,43.72823508097344,-79.41808634471838,Italian Restaurant
202,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Aroma Espresso Bar,43.73597504480755,-79.42039080887425,Café
203,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Starbucks,43.728673,-79.418513,Coffee Shop
204,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Starbucks,43.732604,-79.419136,Coffee Shop
205,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Sakura Garden,43.73339792581388,-79.41949129828605,Sushi Restaurant
206,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Darbar Persian Grill,43.735484,-79.420006,Restaurant
207,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Francobollo,43.734556923055784,-79.41954908679143,Italian Restaurant
208,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Tim Hortons,43.735355956224325,-79.41960454261636,Coffee Shop
209,Bedford Park-Nortown,43.731486231800005,-79.4202273481,LCBO,43.73106478660271,-79.41923740055336,Liquor Store
210,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Dino's No Frills,43.730699,-79.418535,Grocery Store
211,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Drums N Flats,43.73503512478632,-79.42003978035157,Comfort Food Restaurant
212,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Freshii,43.731582455410454,-79.41910939095219,Juice Bar
213,Bedford Park-Nortown,43.731486231800005,-79.4202273481,La Bamboche,43.72809138070416,-79.4180217257015,Bakery
214,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Pheasant & Firkin,43.73517255469138,-79.41970208136466,Pub
215,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Safari Bar and Grill,43.72905148409205,-79.41810862863923,American Restaurant
216,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Subway,43.73159539578682,-79.41963959053555,Sandwich Place
217,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Satay on the Road,43.735310312009226,-79.41978338676937,Thai Restaurant
218,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Il Fornaro,43.734073,-79.41987,Italian Restaurant
219,Bedford Park-Nortown,43.731486231800005,-79.4202273481,McDonald's,43.73259250589356,-79.41966584226944,Fast Food Restaurant
220,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Pizza Pizza,43.731952,-79.415019,Pizza Place
221,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Panago,43.73142990393012,-79.41922358988248,Pizza Place
222,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Want Boutique,43.72992550936172,-79.41879272460938,Women's Store
223,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Videoflicks,43.72768510888065,-79.41776026478563,Video Store
224,Bedford Park-Nortown,43.731486231800005,-79.4202273481,Vida Nails & Spa,43.727454,-79.417495,Cosmetics Shop
225,Beechborough-Greenbrook,43.6932164866,-79.4794725057,McDonald's,43.692926495448766,-79.47998177868274,Fast Food Restaurant
226,Beechborough-Greenbrook,43.6932164866,-79.4794725057,Subway,43.69000119168634,-79.4757628440857,Sandwich Place
227,Beechborough-Greenbrook,43.6932164866,-79.4794725057,Kapamilya Gym,43.693054,-79.483409,Gym
228,Beechborough-Greenbrook,43.6932164866,-79.4794725057,2 Brothers shawarma,43.690118,-79.47515,Turkish Restaurant
229,Bendale ,43.7603663086,-79.2574003723,Thomson Memorial Park,43.758891136195544,-79.25450028760426,Park
